# PRESENCE CURVES - Temporal Population Modulation
# Schema: land_use, day_type, hour (0-23), presence (0.0-1.0)
# 
# TO REPLACE WITH REAL DATA:
#   - Telia Crowd Insights: aggregate by land_use tag from OSM, resample to hourly
#   - RVU Sverige microdata: trip departure times by purpose -> invert to get presence
#   - SCB Tätortsdata: use as static baseline, modulate with any mobility source
#
# CURRENT VALUES DERIVED FROM:
#   [1] Swedish Working Hours Act (Arbetstidslagen) - standard 08:30-17:00 Mon-Fri
#       Source: Swedish Work Environment Authority
#   [2] RVU Sverige (Trafikanalys) - bimodal weekday peaks 07-09 and 16-18
#       Source: trafa.se/en/transportation-trends/travel-survey/
#   [3] Karlskrona solar data 56.16N - summer 04:30-21:30, winter 08:30-15:00
#       Source: timeanddate.com/sun/@2701713
#   [4] Kollektivavtal industrial shift norms - day shift 07:00-16:00
#
# land_use values must match OSM primary tag used in build_scored_grid()
# day_type: 'weekday' or 'weekend' (public holidays treated as weekend)
land_use,day_type,hour,presence
residential,weekday,0,0.92
residential,weekday,1,0.92
residential,weekday,2,0.92
residential,weekday,3,0.92
residential,weekday,4,0.90
residential,weekday,5,0.85
residential,weekday,6,0.65
residential,weekday,7,0.50
residential,weekday,8,0.32
residential,weekday,9,0.28
residential,weekday,10,0.28
residential,weekday,11,0.30
residential,weekday,12,0.35
residential,weekday,13,0.32
residential,weekday,14,0.30
residential,weekday,15,0.32
residential,weekday,16,0.45
residential,weekday,17,0.68
residential,weekday,18,0.78
residential,weekday,19,0.84
residential,weekday,20,0.88
residential,weekday,21,0.90
residential,weekday,22,0.91
residential,weekday,23,0.92
residential,weekend,0,0.92
residential,weekend,1,0.92
residential,weekend,2,0.92
residential,weekend,3,0.92
residential,weekend,4,0.92
residential,weekend,5,0.90
residential,weekend,6,0.88
residential,weekend,7,0.84
residential,weekend,8,0.76
residential,weekend,9,0.68
residential,weekend,10,0.62
residential,weekend,11,0.58
residential,weekend,12,0.55
residential,weekend,13,0.55
residential,weekend,14,0.57
residential,weekend,15,0.60
residential,weekend,16,0.65
residential,weekend,17,0.70
residential,weekend,18,0.75
residential,weekend,19,0.80
residential,weekend,20,0.85
residential,weekend,21,0.88
residential,weekend,22,0.90
residential,weekend,23,0.92
industrial,weekday,0,0.05
industrial,weekday,1,0.05
industrial,weekday,2,0.05
industrial,weekday,3,0.05
industrial,weekday,4,0.05
industrial,weekday,5,0.08
industrial,weekday,6,0.35
industrial,weekday,7,0.70
industrial,weekday,8,0.92
industrial,weekday,9,0.92
industrial,weekday,10,0.92
industrial,weekday,11,0.90
industrial,weekday,12,0.88
industrial,weekday,13,0.90
industrial,weekday,14,0.92
industrial,weekday,15,0.90
industrial,weekday,16,0.72
industrial,weekday,17,0.40
industrial,weekday,18,0.15
industrial,weekday,19,0.08
industrial,weekday,20,0.05
industrial,weekday,21,0.05
industrial,weekday,22,0.05
industrial,weekday,23,0.05
industrial,weekend,0,0.05
industrial,weekend,1,0.05
industrial,weekend,2,0.05
industrial,weekend,3,0.05
industrial,weekend,4,0.05
industrial,weekend,5,0.05
industrial,weekend,6,0.05
industrial,weekend,7,0.06
industrial,weekend,8,0.08
industrial,weekend,9,0.08
industrial,weekend,10,0.08
industrial,weekend,11,0.07
industrial,weekend,12,0.07
industrial,weekend,13,0.07
industrial,weekend,14,0.07
industrial,weekend,15,0.06
industrial,weekend,16,0.06
industrial,weekend,17,0.05
industrial,weekend,18,0.05
industrial,weekend,19,0.05
industrial,weekend,20,0.05
industrial,weekend,21,0.05
industrial,weekend,22,0.05
industrial,weekend,23,0.05
road,weekday,0,0.04
road,weekday,1,0.03
road,weekday,2,0.03
road,weekday,3,0.03
road,weekday,4,0.05
road,weekday,5,0.15
road,weekday,6,0.55
road,weekday,7,0.88
road,weekday,8,0.82
road,weekday,9,0.58
road,weekday,10,0.48
road,weekday,11,0.52
road,weekday,12,0.62
road,weekday,13,0.55
road,weekday,14,0.50
road,weekday,15,0.54
road,weekday,16,0.75
road,weekday,17,0.92
road,weekday,18,0.78
road,weekday,19,0.58
road,weekday,20,0.42
road,weekday,21,0.30
road,weekday,22,0.16
road,weekday,23,0.07
road,weekend,0,0.04
road,weekend,1,0.03
road,weekend,2,0.03
road,weekend,3,0.03
road,weekend,4,0.04
road,weekend,5,0.07
road,weekend,6,0.14
road,weekend,7,0.28
road,weekend,8,0.48
road,weekend,9,0.60
road,weekend,10,0.68
road,weekend,11,0.72
road,weekend,12,0.74
road,weekend,13,0.75
road,weekend,14,0.74
road,weekend,15,0.70
road,weekend,16,0.68
road,weekend,17,0.65
road,weekend,18,0.58
road,weekend,19,0.48
road,weekend,20,0.38
road,weekend,21,0.28
road,weekend,22,0.16
road,weekend,23,0.07
water,weekday,0,0.00
water,weekday,1,0.00
water,weekday,2,0.00
water,weekday,3,0.00
water,weekday,4,0.02
water,weekday,5,0.06
water,weekday,6,0.10
water,weekday,7,0.14
water,weekday,8,0.16
water,weekday,9,0.18
water,weekday,10,0.20
water,weekday,11,0.22
water,weekday,12,0.24
water,weekday,13,0.25
water,weekday,14,0.24
water,weekday,15,0.22
water,weekday,16,0.20
water,weekday,17,0.16
water,weekday,18,0.12
water,weekday,19,0.08
water,weekday,20,0.04
water,weekday,21,0.02
water,weekday,22,0.00
water,weekday,23,0.00
water,weekend,0,0.00
water,weekend,1,0.00
water,weekend,2,0.00
water,weekend,3,0.00
water,weekend,4,0.02
water,weekend,5,0.04
water,weekend,6,0.08
water,weekend,7,0.14
water,weekend,8,0.22
water,weekend,9,0.30
water,weekend,10,0.36
water,weekend,11,0.38
water,weekend,12,0.40
water,weekend,13,0.40
water,weekend,14,0.38
water,weekend,15,0.36
water,weekend,16,0.32
water,weekend,17,0.24
water,weekend,18,0.16
water,weekend,19,0.10
water,weekend,20,0.05
water,weekend,21,0.02
water,weekend,22,0.00
water,weekend,23,0.00
forest,weekday,0,0.00
forest,weekday,1,0.00
forest,weekday,2,0.00
forest,weekday,3,0.00
forest,weekday,4,0.00
forest,weekday,5,0.02
forest,weekday,6,0.06
forest,weekday,7,0.10
forest,weekday,8,0.08
forest,weekday,9,0.07
forest,weekday,10,0.08
forest,weekday,11,0.12
forest,weekday,12,0.10
forest,weekday,13,0.10
forest,weekday,14,0.09
forest,weekday,15,0.08
forest,weekday,16,0.11
forest,weekday,17,0.10
forest,weekday,18,0.07
forest,weekday,19,0.04
forest,weekday,20,0.02
forest,weekday,21,0.00
forest,weekday,22,0.00
forest,weekday,23,0.00
forest,weekend,0,0.00
forest,weekend,1,0.00
forest,weekend,2,0.00
forest,weekend,3,0.00
forest,weekend,4,0.00
forest,weekend,5,0.02
forest,weekend,6,0.04
forest,weekend,7,0.08
forest,weekend,8,0.16
forest,weekend,9,0.22
forest,weekend,10,0.26
forest,weekend,11,0.28
forest,weekend,12,0.28
forest,weekend,13,0.26
forest,weekend,14,0.24
forest,weekend,15,0.22
forest,weekend,16,0.18
forest,weekend,17,0.12
forest,weekend,18,0.07
forest,weekend,19,0.03
forest,weekend,20,0.01
forest,weekend,21,0.00
forest,weekend,22,0.00
forest,weekend,23,0.00
commercial,weekday,0,0.02
commercial,weekday,1,0.02
commercial,weekday,2,0.02
commercial,weekday,3,0.02
commercial,weekday,4,0.02
commercial,weekday,5,0.03
commercial,weekday,6,0.05
commercial,weekday,7,0.12
commercial,weekday,8,0.30
commercial,weekday,9,0.55
commercial,weekday,10,0.80
commercial,weekday,11,0.88
commercial,weekday,12,0.92
